book_number,chapter_number,book_title,chapter_title,pub_year,cluster_id,cluster_label,chunk_count,narrative_words,sent_count,sent_mean_words,sent_std_words,sent_pct_long,sent_pct_short,pct_questions,flesch_ease,fk_grade,fog_index,ttr,mean_word_len,abstract_ratio,hapax_ratio,hedge_per_1k,assert_per_1k,hedge_assert_ratio,causal_per_1k,contrast_per_1k,additive_per_1k,exemplify_per_1k,i_per_1k,we_per_1k,passive_per_1k,semicolon_per_1k,emdash_per_1k,colon_per_1k,citation_per_1k,self_cite_per_1k,metalinguistic_per_1k,definitional_per_1k,subordinate_per_1k
9,2,Essays in Computer-Supported Collaborative Learning,Engaging with Engaged Learning,2006,6,Joint Problem Space and Collaborative Knowledge Construction,12,1698,91,18.66,9.49,10.99,13.19,0.0,30.9,13.42,17.36,0.3378,5.552,0.0422,0.1851,7.067,2.945,0.7059,0.0,2.945,3.534,0.589,0.589,11.779,0.0,2.945,1.767,1.178,6.478,0.589,0.0,2.945,2.945
11,14,Essays in Philosophy of Group Cognition,Sustaining Group Cognition,2006,7,Group Discourse in Mathematics Problem-Solving,99,14291,821,17.43,12.72,12.42,31.06,1.58,41.56,11.52,15.21,0.1609,5.339,0.0395,0.0669,4.128,2.519,0.6211,0.28,1.469,1.469,1.399,1.539,14.065,0.84,4.828,2.659,7.907,7.557,0.77,0.0,1.12,2.799
12,7,Essays in Online Mathematics Interaction,Polyphonic Support for Collaborative Learning,2006,5,Perspectives and Knowledge Construction Systems,26,3542,168,21.1,13.39,22.02,18.45,0.6,24.2,14.8,18.0,0.2805,5.651,0.0451,0.1392,5.929,1.129,0.84,0.565,3.953,6.494,1.976,0.847,5.647,1.976,1.129,0.0,4.8,1.129,0.0,0.282,1.129,2.259
15,2,Global Introduction to CSCL,English original version (2006),2006,12,Group Cognition and Collaborative Knowledge Building,68,9208,406,22.68,11.79,18.23,7.88,1.97,18.5,16.1,19.45,0.1998,5.842,0.0466,0.0918,4.453,3.367,0.5694,0.652,2.606,2.824,1.303,0.0,3.91,2.498,2.715,3.041,3.692,10.209,1.195,0.109,1.955,2.389
16,1,Editorial Introductions to ijCSCL,1(1): ijCSCL – a journal for research in CSCL,2006,1,Group Processes and Collaborative Knowledge Building,19,2636,136,19.38,9.52,11.76,11.03,2.21,25.98,14.33,17.94,0.3236,5.706,0.0386,0.1768,1.897,5.69,0.25,0.0,3.414,2.276,0.379,0.0,4.932,1.897,1.138,0.0,3.035,0.759,0.0,0.759,0.379,1.138
16,2,Editorial Introductions to ijCSCL,"1(2): Building knowledge in the classroom, building knowledge in the CSCL community",2006,1,Group Processes and Collaborative Knowledge Building,11,1532,72,21.28,13.75,16.67,15.28,0.0,30.24,14.21,17.56,0.3832,5.576,0.0394,0.2363,3.916,3.916,0.5,0.0,1.958,1.305,0.653,0.0,1.958,1.958,1.305,2.611,7.18,0.0,0.0,0.0,0.0,0.653
16,3,Editorial Introductions to ijCSCL,1(3): Focusing on participation in group meaning making,2006,17,Foundations and Evolution of CSCL,7,954,41,23.27,14.73,19.51,12.2,0.0,29.3,14.92,18.57,0.431,5.495,0.0443,0.2677,2.096,3.145,0.4,0.0,3.145,2.096,0.0,0.0,2.096,1.048,1.048,2.096,12.579,0.0,0.0,0.0,0.0,0.0
16,4,Editorial Introductions to ijCSCL,1(4): Social practices of computer-supported collaborative learning,2006,1,Group Processes and Collaborative Knowledge Building,11,1522,74,20.57,10.78,14.86,13.51,0.0,25.0,14.77,18.1,0.3788,5.76,0.039,0.2216,5.256,1.314,0.8,1.971,1.971,1.971,0.0,0.0,2.628,1.314,1.971,4.599,0.657,3.285,0.0,0.657,0.0,1.971
3,22,Group Cognition: Computer Support for Building Collaborative Knowledge,Making Group Cognition Visible,2007,11,Group Cognition in Collaborative Learning,91,12930,534,24.21,15.29,21.91,11.05,1.69,24.42,15.67,19.4,0.159,5.563,0.0448,0.0642,4.563,5.104,0.472,0.696,2.707,1.856,1.701,0.541,6.961,1.392,1.547,4.254,1.856,3.326,0.0,0.0,2.63,3.248
4,19,Studying Virtual Math Teams,The Integration of Dual-interaction Spaces,2007,1,Group Processes and Collaborative Knowledge Building,39,5432,224,24.25,15.85,22.32,10.27,6.7,26.16,15.28,19.0,0.2166,5.559,0.0629,0.0981,3.314,3.498,0.4865,0.368,2.761,2.209,1.841,0.92,3.866,1.105,2.577,3.13,3.866,6.996,0.184,0.0,0.92,2.025
8,16,Essays in Personalizable Software,Designing Collaborative Learning Environments using Digital Games,2007,1,Group Processes and Collaborative Knowledge Building,36,5113,350,14.62,10.07,5.14,34.86,1.43,34.69,11.75,15.32,0.2172,5.616,0.0559,0.0919,3.912,3.325,0.5405,2.347,1.76,2.543,1.956,0.196,6.063,1.565,1.173,0.0,9.192,2.543,0.0,0.782,2.347,4.694
9,9,Essays in Computer-Supported Collaborative Learning,Designing Problems to Support Knowledge Building,2007,4,Virtual Math Teams Project and Online Collaboration,32,4488,250,17.96,12.93,11.6,31.2,0.0,34.88,12.56,15.42,0.2269,5.634,0.0379,0.1002,0.891,2.005,0.3077,0.223,1.56,2.451,0.446,0.0,2.228,3.565,2.005,3.788,4.011,4.011,0.891,0.0,0.223,0.891
10,10,Essays in Group-Cognitive Science,Methodological issues in developing a multi-dimensional coding procedure for small group chat communication,2007,3,Threading and Response Structure in Chat,52,7182,427,16.84,13.59,12.41,37.94,1.41,29.42,12.92,15.91,0.2045,5.704,0.0603,0.0903,2.367,2.506,0.4857,1.253,3.202,2.228,1.253,0.139,13.088,2.089,4.595,2.367,7.658,8.493,1.532,0.0,0.696,2.924
16,5,Editorial Introductions to ijCSCL,2(1): Welcome to the future: ijCSCL volume 2,2007,1,Group Processes and Collaborative Knowledge Building,19,2559,108,23.69,19.03,24.07,18.52,0.93,25.93,15.26,18.33,0.3578,5.616,0.0389,0.2055,4.299,0.782,0.8462,0.782,1.172,2.345,0.391,0.0,4.689,1.954,1.563,1.563,4.689,2.735,0.782,0.0,0.782,1.563
16,6,Editorial Introductions to ijCSCL,2(2&3): A double issue for CSCL 2007,2007,17,Foundations and Evolution of CSCL,21,2867,125,22.94,11.57,19.2,11.2,0.0,19.97,15.97,19.57,0.3104,5.857,0.052,0.1547,2.79,1.046,0.7273,0.698,2.093,3.488,1.395,0.349,2.442,5.581,1.395,1.744,3.488,1.395,0.0,0.0,1.744,0.698
16,7,Editorial Introductions to ijCSCL,2(4): CSCL and its flash themes,2007,17,Foundations and Evolution of CSCL,16,2473,94,26.31,22.5,23.4,6.38,1.06,41.52,13.71,17.09,0.3202,5.059,0.0284,0.1753,2.022,1.213,0.625,0.0,1.213,0.809,0.404,1.213,9.705,6.066,3.235,2.831,5.257,1.213,0.0,0.0,0.404,1.213
4,2,Studying Virtual Math Teams,A Chat about Chat,2008,12,Group Cognition and Collaborative Knowledge Building,36,5144,224,22.96,13.5,20.09,5.8,6.25,30.99,14.49,17.92,0.2494,5.54,0.0343,0.1134,4.277,4.86,0.4681,0.972,2.527,1.944,1.75,10.886,9.72,0.194,1.361,4.082,3.694,0.0,0.0,0.0,1.75,3.499
4,29,Studying Virtual Math Teams,Polyphonic Inter-Animation of Voices in VMT,2008,3,Threading and Response Structure in Chat,66,9055,370,24.47,14.79,22.7,6.49,1.62,25.84,15.39,19.29,0.1731,5.444,0.0534,0.0714,6.184,1.767,0.7778,1.104,1.657,5.411,2.098,0.552,7.178,2.43,1.767,3.092,3.755,4.859,0.663,0.0,1.325,1.877
9,8,Essays in Computer-Supported Collaborative Learning,Temporality of the Joint Problem Space,2008,7,Group Discourse in Mathematics Problem-Solving,56,7738,288,26.88,27.0,31.25,24.65,2.08,25.9,15.77,19.5,0.1976,5.592,0.0554,0.0857,5.428,1.163,0.8235,0.905,2.843,2.714,2.326,0.905,9.692,2.068,2.326,0.775,9.822,7.883,1.292,0.0,0.388,2.068
12,6,Essays in Online Mathematics Interaction,"Group Creativity in InterAction: Collaborative Referencing, Remembering and Bridging",2008,7,Group Discourse in Mathematics Problem-Solving,49,6882,266,25.88,15.41,27.82,10.15,2.63,28.56,15.43,19.11,0.1974,5.452,0.0438,0.0883,4.94,2.034,0.7083,0.145,2.325,4.359,1.308,0.581,14.385,0.872,0.0,0.581,7.411,0.436,0.0,0.145,1.453,3.487
12,8,Essays in Online Mathematics Interaction,Book review: Exploring thinking as communicating in CSCL,2008,1,Group Processes and Collaborative Knowledge Building,37,5066,244,20.77,14.46,19.67,21.72,3.28,29.99,14.05,17.8,0.2602,5.631,0.0377,0.1253,3.75,4.54,0.4524,0.395,1.974,2.961,1.974,2.369,10.067,0.592,2.171,5.922,4.343,3.75,0.197,0.0,0.987,4.343
15,4,Global Introduction to CSCL,Portuguese Translation by Hugo Fuks & Tatiana Escovedo,2008,17,Foundations and Evolution of CSCL,72,9702,391,24.81,13.95,21.48,6.39,1.79,-14.07,19.78,22.66,0.226,6.04,0.002,0.1114,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.711,0.0,4.844,10.926,0.928,0.0,0.0,0.0
15,7,Global Introduction to CSCL,Romanian Translation by Ştefan Trăuşan-Matu,2008,17,Foundations and Evolution of CSCL,76,10064,406,24.79,14.91,24.14,6.9,1.48,15.22,15.01,19.2,0.2401,5.716,0.003,0.1158,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.882,0.0,3.478,8.048,0.795,0.0,0.0,0.0
16,8,Editorial Introductions to ijCSCL,3(1): The many levels of CSCL,2008,1,Group Processes and Collaborative Knowledge Building,16,2191,73,30.01,40.09,24.66,8.22,0.0,19.06,17.76,21.05,0.4023,5.661,0.0309,0.2349,0.913,0.0,1.0,0.0,1.826,2.282,0.456,0.0,4.564,3.195,0.913,2.282,2.738,0.0,0.0,0.0,0.0,2.738
16,9,Editorial Introductions to ijCSCL,3(2): The strength of the lone wolf,2008,1,Group Processes and Collaborative Knowledge Building,18,2333,146,15.99,14.67,13.01,41.78,0.68,31.75,12.72,16.01,0.34,5.715,0.0354,0.1858,1.286,4.715,0.2143,0.0,3.0,3.429,1.286,0.0,6.429,0.857,11.144,5.572,9.43,4.286,0.0,0.0,0.0,2.143
16,10,Editorial Introductions to ijCSCL,3(3): Explorations of participation in discourse,2008,1,Group Processes and Collaborative Knowledge Building,6,823,33,24.94,12.74,24.24,6.06,0.0,17.37,16.84,19.4,0.409,5.828,0.0514,0.261,1.215,1.215,0.5,0.0,1.215,3.645,1.215,0.0,8.505,0.0,1.215,2.43,3.645,3.645,0.0,0.0,1.215,2.43
16,11,Editorial Introductions to ijCSCL,3(4): CSCL practices,2008,12,Group Cognition and Collaborative Knowledge Building,14,1823,83,21.96,13.29,20.48,13.25,0.0,22.84,15.39,18.99,0.3668,5.769,0.049,0.209,6.034,1.097,0.8462,0.549,3.291,4.388,0.549,0.0,3.84,0.0,0.0,2.194,4.937,1.097,0.0,0.0,1.097,3.291
4,1,Studying Virtual Math Teams,Introduction to Part I: Introducing Group Cognition in Virtual Math Teams,2009,7,Group Discourse in Mathematics Problem-Solving,14,2011,85,23.66,10.42,17.65,7.06,0.0,29.08,14.93,18.08,0.3046,5.566,0.0367,0.1622,2.486,0.0,1.0,0.0,2.486,4.475,1.492,1.989,10.443,1.492,0.0,3.481,4.475,0.497,0.497,0.0,1.492,2.984
4,3,Studying Virtual Math Teams,The VMT Vision,2009,4,Virtual Math Teams Project and Online Collaboration,42,6057,288,21.03,12.03,15.62,12.5,0.0,37.74,13.06,16.19,0.2069,5.427,0.0308,0.0904,5.283,0.825,0.8649,0.33,2.311,2.972,1.156,0.33,4.293,1.651,1.651,3.137,2.146,0.991,0.0,0.0,0.33,2.146
4,4,Studying Virtual Math Teams,Mathematical Discourse as Group Cognition,2009,7,Group Discourse in Mathematics Problem-Solving,36,4947,194,25.5,13.73,24.74,4.64,4.64,26.33,15.78,19.53,0.2535,5.569,0.0405,0.1229,3.436,4.447,0.4359,0.404,2.224,3.639,2.628,1.819,9.299,0.606,2.426,7.884,2.426,3.234,0.0,0.0,1.213,3.841
4,7,Studying Virtual Math Teams,Introduction to Part II: Studying Group Cognition in Virtual Math Teams,2009,4,Virtual Math Teams Project and Online Collaboration,21,3033,114,26.61,11.8,29.82,3.51,0.0,30.09,15.43,18.88,0.278,5.425,0.0318,0.1481,1.978,1.978,0.5,0.659,1.978,1.978,0.33,0.0,2.638,3.297,2.638,7.254,1.649,2.638,0.33,0.0,2.638,1.978
4,8,Studying Virtual Math Teams,The Sequential Co-construction of the Joint Problem Space,2009,7,Group Discourse in Mathematics Problem-Solving,55,7692,234,32.87,25.82,41.45,3.85,0.43,19.03,18.31,22.3,0.1913,5.586,0.0535,0.0849,7.67,1.82,0.8082,0.91,3.64,3.25,2.21,0.52,9.75,2.6,1.56,2.08,6.11,6.37,0.65,0.0,1.17,2.73
4,9,Studying Virtual Math Teams,"The Organization of Graphical, Narrative and Symbolic Interactions",2009,4,Virtual Math Teams Project and Online Collaboration,158,22585,819,27.58,14.31,31.5,5.62,3.54,24.97,16.26,19.68,0.1177,5.506,0.0461,0.0416,2.834,1.948,0.5926,1.417,2.745,2.922,1.992,0.089,8.944,1.638,1.948,3.055,1.151,4.738,0.31,0.177,2.037,3.188
4,10,Studying Virtual Math Teams,Question Co-Construction in VMT Chats,2009,4,Virtual Math Teams Project and Online Collaboration,68,9737,352,27.66,17.24,28.12,6.25,0.57,34.88,14.94,18.56,0.1415,5.216,0.0551,0.0545,6.265,3.8,0.6224,1.643,2.568,2.773,2.157,0.514,6.573,0.719,0.924,4.313,2.876,1.13,0.205,0.103,1.643,2.157
4,11,Studying Virtual Math Teams,Resolving Differences of Perspective in a VMT Session,2009,4,Virtual Math Teams Project and Online Collaboration,61,8920,327,27.28,17.32,27.52,4.89,3.06,33.55,15.01,18.53,0.1573,5.226,0.0479,0.0675,3.027,3.027,0.5,2.691,3.924,2.242,1.233,0.897,3.587,1.009,1.906,2.578,5.605,4.596,0.448,0.112,1.57,1.121
4,12,Studying Virtual Math Teams,Introduction to Part III: Studying Group Discourse in Virtual Math Teams,2009,4,Virtual Math Teams Project and Online Collaboration,11,1517,62,24.47,11.78,22.58,3.23,0.0,21.65,16.15,19.77,0.3223,5.77,0.0434,0.1798,2.637,4.614,0.3636,0.659,3.955,5.933,1.318,0.0,0.0,0.0,0.0,1.978,0.659,3.296,0.0,0.659,1.318,0.659
4,13,Studying Virtual Math Teams,Representational practices in VMT,2009,4,Virtual Math Teams Project and Online Collaboration,55,7176,295,24.33,17.51,19.32,9.15,5.08,29.86,14.67,18.89,0.175,5.537,0.0483,0.0723,1.951,4.738,0.2917,0.697,0.975,3.763,1.254,0.975,11.984,1.115,2.508,1.812,1.115,7.107,1.672,0.0,2.09,2.369
4,14,Studying Virtual Math Teams,Student and Team Agency in VMT,2009,4,Virtual Math Teams Project and Online Collaboration,69,9964,384,25.95,16.23,27.34,8.33,1.56,35.71,14.46,18.05,0.1716,5.227,0.0471,0.0703,5.118,4.115,0.5543,1.004,2.509,3.412,1.305,1.004,10.739,0.703,1.907,4.918,0.803,4.215,0.201,0.0,1.606,2.509
4,15,Studying Virtual Math Teams,Group Creativity in VMT,2009,4,Virtual Math Teams Project and Online Collaboration,39,5398,193,27.97,13.07,35.75,5.18,0.0,20.81,16.99,20.99,0.2177,5.613,0.0442,0.1007,5.187,4.261,0.549,0.185,1.853,4.817,2.594,0.741,17.229,0.926,2.408,1.112,1.482,7.04,0.556,0.0,1.297,3.89
4,16,Studying Virtual Math Teams,"Inscriptions, Mathematical Ideas and Reasoning in VMT",2009,4,Virtual Math Teams Project and Online Collaboration,84,11930,479,24.91,17.27,22.13,7.31,1.04,28.79,15.12,18.16,0.1382,5.545,0.0287,0.053,3.269,1.174,0.7358,0.671,3.437,4.023,2.096,0.168,10.226,0.671,3.101,4.946,2.934,3.269,0.168,0.0,1.844,3.353
4,17,Studying Virtual Math Teams,Reading’s work in VMT,2009,4,Virtual Math Teams Project and Online Collaboration,59,8383,306,27.4,17.79,27.12,8.82,0.98,29.4,15.68,19.68,0.1566,5.397,0.0545,0.0644,2.982,2.028,0.5952,2.028,2.982,2.386,2.028,1.789,3.102,1.312,0.596,1.074,5.607,2.863,0.0,0.119,2.744,4.294
4,18,Studying Virtual Math Teams,Introduction to Part IV: Designing the VMT Collaboration Environment,2009,4,Virtual Math Teams Project and Online Collaboration,6,857,34,25.21,10.47,17.65,2.94,0.0,28.79,15.24,19.01,0.3886,5.505,0.0353,0.2278,0.0,0.0,0.5,0.0,0.0,1.167,0.0,0.0,0.0,2.334,2.334,2.334,3.501,0.0,0.0,0.0,1.167,1.167
4,20,Studying Virtual Math Teams,Designing a Mix of Synchronous and Asynchronous Media for VMT,2009,4,Virtual Math Teams Project and Online Collaboration,50,7025,335,20.97,10.94,14.33,13.13,0.6,33.49,13.65,16.74,0.2134,5.497,0.0324,0.0992,5.409,1.708,0.76,0.0,1.993,2.847,0.854,0.0,8.826,2.989,0.285,4.698,0.854,3.274,0.0,0.0,1.139,2.562
4,21,Studying Virtual Math Teams,Deictic Referencing in VMT,2009,4,Virtual Math Teams Project and Online Collaboration,61,8725,347,25.14,12.24,25.65,3.75,1.73,30.01,15.02,18.41,0.1768,5.453,0.0422,0.0727,4.814,3.095,0.6087,0.344,1.719,1.834,1.605,0.0,7.221,1.605,2.178,3.668,1.948,3.553,0.344,0.0,2.407,2.751
4,23,Studying Virtual Math Teams,Helping Agents in VMT,2009,4,Virtual Math Teams Project and Online Collaboration,63,8700,312,27.88,19.78,28.53,8.65,0.32,22.59,16.7,20.09,0.1819,5.597,0.0411,0.0753,2.529,2.529,0.5,1.149,2.529,2.644,2.184,0.46,18.276,1.724,2.529,2.299,0.805,4.828,0.0,0.0,1.264,2.874
4,24,Studying Virtual Math Teams,Introduction to Part V: Representing Group Interaction in VMT,2009,3,Threading and Response Structure in Chat,7,972,44,22.09,8.92,15.91,4.55,0.0,27.6,14.71,18.16,0.3461,5.54,0.0351,0.2034,4.115,0.0,1.0,2.058,4.115,1.029,0.0,0.0,0.0,4.115,1.029,3.086,1.029,0.0,0.0,0.0,4.115,4.115
4,25,Studying Virtual Math Teams,Thread-based Analysis of Patterns in VMT,2009,4,Virtual Math Teams Project and Online Collaboration,34,4694,200,23.47,12.89,20.0,10.0,4.0,28.96,14.66,18.27,0.2061,5.578,0.0498,0.0865,1.491,2.556,0.3684,2.13,2.343,3.196,3.409,0.426,12.995,0.852,2.556,0.852,1.917,3.196,0.213,0.0,4.687,2.343
4,26,Studying Virtual Math Teams,Studying Response-Structure Confusion in VMT,2009,3,Threading and Response Structure in Chat,39,5269,224,23.52,14.19,18.75,7.14,0.45,30.54,14.45,18.53,0.2057,5.412,0.0499,0.0965,4.365,1.898,0.697,0.38,4.935,1.898,2.467,0.0,1.139,4.365,5.694,3.226,3.986,5.694,0.0,0.19,1.708,5.504
4,30,Studying Virtual Math Teams,A Model for Analyzing Math Knowledge Building in VMT,2009,4,Virtual Math Teams Project and Online Collaboration,66,9073,377,24.07,17.2,20.42,7.96,5.04,29.76,14.51,17.72,0.1562,5.536,0.053,0.0618,1.874,4.078,0.3148,0.661,0.441,2.866,1.212,1.323,5.621,2.425,2.204,0.772,1.212,6.393,0.551,0.0,2.204,1.653
4,32,Studying Virtual Math Teams,Introduction to Part VI: Conceptualizing Group Cognition in VMT,2009,4,Virtual Math Teams Project and Online Collaboration,10,1345,53,25.38,16.51,22.64,7.55,0.0,22.01,16.23,19.81,0.3351,5.726,0.0543,0.1854,0.743,1.487,0.3333,0.0,5.204,1.487,0.0,0.0,0.0,2.23,0.743,4.461,2.974,2.974,2.974,0.743,0.0,5.204
4,33,Studying Virtual Math Teams,Meaning Making in VMT,2009,4,Virtual Math Teams Project and Online Collaboration,76,10985,504,21.8,13.82,17.86,13.89,3.37,38.09,13.1,16.73,0.1619,5.326,0.0346,0.0649,4.916,3.368,0.5934,0.364,2.731,2.822,1.457,1.821,7.556,1.274,1.001,2.64,1.457,4.825,1.73,0.0,1.639,2.003
4,34,Studying Virtual Math Teams,Critical Ethnography in the VMT Project,2009,4,Virtual Math Teams Project and Online Collaboration,106,14377,485,29.64,22.73,33.4,12.58,0.0,9.31,18.9,22.65,0.1838,5.863,0.0602,0.0772,3.547,2.991,0.5426,1.113,5.008,3.826,1.252,1.043,4.66,1.669,2.574,3.06,3.617,8.416,0.417,0.0,1.391,3.06
4,35,Studying Virtual Math Teams,Toward a Science of Group Cognition,2009,4,Virtual Math Teams Project and Online Collaboration,202,27028,2200,12.31,35.7,5.95,57.27,1.14,29.7,11.81,15.08,0.1635,5.908,0.0545,0.0691,2.849,1.554,0.6471,0.481,1.184,1.48,1.036,0.814,6.179,1.147,1.184,2.146,16.501,3.219,0.851,0.0,0.666,1.221
9,7,Essays in Computer-Supported Collaborative Learning,Synchronous Chat in CSCL,2009,4,Virtual Math Teams Project and Online Collaboration,80,10772,523,20.61,14.24,20.46,26.39,2.49,28.8,14.16,17.87,0.1723,5.675,0.045,0.0718,3.063,1.114,0.7333,1.114,2.692,2.321,1.485,0.464,9.005,1.3,2.414,4.549,5.756,5.013,1.949,0.0,1.114,1.671
12,2,Essays in Online Mathematics Interaction,The Joint Organization of Interaction within a Multimodal CSCL Medium,2009,7,Group Discourse in Mathematics Problem-Solving,155,21858,985,22.21,16.12,23.76,24.57,2.54,30.5,14.17,17.55,0.1237,5.516,0.0468,0.0448,2.379,2.242,0.5149,1.281,2.425,2.608,1.693,0.091,9.607,1.372,1.83,2.836,5.078,4.895,1.144,0.229,2.104,2.608
12,4,Essays in Online Mathematics Interaction,"“You can divide the thing into two parts”: Analyzing Referential, Mathematical and Technological Practice in the VMT Environment",2009,4,Virtual Math Teams Project and Online Collaboration,35,5170,249,20.78,17.21,15.66,25.3,10.04,44.66,11.55,15.48,0.221,5.147,0.0399,0.0957,7.737,1.741,0.8163,1.161,0.967,0.967,0.387,1.741,12.573,0.967,0.387,0.967,3.675,2.901,0.193,0.0,0.967,0.387
12,5,Essays in Online Mathematics Interaction,Repairing Indexicality in Virtual Math Teams,2009,7,Group Discourse in Mathematics Problem-Solving,40,5867,328,17.9,19.63,14.63,39.02,7.93,55.95,9.26,13.12,0.1947,4.966,0.0231,0.0809,4.261,3.92,0.5208,0.0,1.704,0.341,1.023,2.386,14.999,0.682,2.386,2.216,7.67,6.818,2.216,0.0,2.898,1.364
16,12,Editorial Introductions to ijCSCL,4(1): Yes we can!,2009,17,Foundations and Evolution of CSCL,17,2268,95,23.87,12.5,23.16,6.32,1.05,24.43,15.65,18.64,0.3481,5.73,0.0347,0.1839,6.173,1.764,0.7778,0.441,2.205,2.205,0.0,0.441,7.055,1.764,1.764,7.055,1.764,0.0,0.0,0.0,0.0,4.85
16,13,Editorial Introductions to ijCSCL,4(2): Practice perspectives in CSCL,2009,1,Group Processes and Collaborative Knowledge Building,23,3076,187,16.47,11.72,10.7,35.29,1.6,30.51,12.91,16.7,0.2935,5.69,0.0463,0.1491,1.3,0.975,0.5714,0.0,1.951,1.3,2.601,0.975,6.177,1.3,0.0,4.226,7.477,4.551,0.65,0.325,0.975,1.3
16,14,Editorial Introductions to ijCSCL,4(3): Classical dialogs in CSCL,2009,17,Foundations and Evolution of CSCL,16,2161,68,31.78,45.39,23.53,1.47,0.0,13.97,18.95,21.88,0.4646,5.805,0.0474,0.2904,0.925,4.165,0.1818,0.0,2.776,0.463,0.925,0.0,2.314,0.463,2.776,8.792,2.314,2.314,0.0,0.0,0.0,2.776
16,15,Editorial Introductions to ijCSCL,4(4): Paradigms of shared knowledge,2009,1,Group Processes and Collaborative Knowledge Building,19,2424,140,17.34,12.65,12.86,37.86,0.0,24.54,13.91,16.7,0.2976,5.912,0.0388,0.1451,4.538,3.3,0.5789,0.825,1.65,2.475,1.238,0.0,2.063,0.413,0.825,4.538,7.013,4.538,0.413,0.0,1.65,0.825
18,4,Overview and Autobiographical Essays,Catch.Up.Me (2009),2009,17,Foundations and Evolution of CSCL,27,4156,275,15.11,9.02,4.73,25.45,0.0,52.56,9.41,12.72,0.2969,5.007,0.0306,0.1574,4.572,0.722,0.8636,0.0,3.609,3.128,0.0,60.395,11.309,3.85,0.241,1.925,1.444,0.241,0.0,0.0,0.0,2.406
18,8,Overview and Autobiographical Essays,A Career in Informatics (2009),2009,17,Foundations and Evolution of CSCL,21,3094,167,18.53,9.82,10.18,14.37,0.0,39.38,12.0,15.22,0.3344,5.386,0.0341,0.1753,2.262,1.293,0.6364,0.646,1.939,2.586,0.0,48.481,3.555,0.646,0.646,3.555,3.878,0.97,0.0,0.323,0.646,1.616
1,2,Marx and Heidegger,Chapter II. Heidegger’s Critique of Marx,2010,18,"Marx, Heidegger, and Historical Ontology",49,6779,239,28.36,22.02,34.31,14.23,5.86,25.73,16.43,20.6,0.2204,5.361,0.0645,0.1077,6.196,4.425,0.5833,2.065,2.95,0.738,0.443,0.885,1.918,0.295,1.77,0.0,5.458,1.918,0.0,0.0,1.623,3.245
1,3,Marx and Heidegger,Chapter III. A Marxist Critique of Heidegger,2010,18,"Marx, Heidegger, and Historical Ontology",26,3566,114,31.28,19.45,39.47,7.89,0.0,12.25,19.11,23.75,0.302,5.662,0.0496,0.1683,5.048,3.365,0.6,1.963,4.767,0.841,0.561,1.683,0.561,0.28,2.804,0.0,3.365,0.841,0.0,0.0,0.841,3.085
1,4,Marx and Heidegger,Chapter IV. Anticipations: The Early Works,2010,18,"Marx, Heidegger, and Historical Ontology",58,8056,272,29.62,21.64,31.99,6.25,0.37,16.95,18.02,22.23,0.1995,5.494,0.0707,0.0956,1.614,5.958,0.2131,4.22,2.358,0.497,0.621,0.124,0.993,0.621,3.724,0.0,3.724,1.117,0.0,0.0,1.241,1.49
1,5,Marx and Heidegger,Chapter V. Research: The Grundrisse,2010,18,"Marx, Heidegger, and Historical Ontology",115,15632,512,30.54,24.25,35.74,12.3,1.56,17.33,18.16,22.67,0.1519,5.469,0.0697,0.0699,3.327,5.054,0.3969,3.518,2.751,2.687,0.96,0.448,1.727,0.832,2.047,0.0,4.606,0.32,0.0,0.0,2.047,2.175
1,6,Marx and Heidegger,Chapter VI. Presentation: Capital,2010,18,"Marx, Heidegger, and Historical Ontology",70,10404,396,26.27,14.64,28.79,8.59,0.0,26.03,15.84,19.86,0.1513,5.258,0.0607,0.0692,2.691,4.325,0.3836,2.884,3.268,1.922,0.577,0.769,0.384,0.481,0.769,0.0,2.403,0.384,0.0,0.0,1.25,2.403
1,7,Marx and Heidegger,Transitional Remarks,2010,18,"Marx, Heidegger, and Historical Ontology",12,1730,72,24.03,11.1,26.39,9.72,4.17,26.4,15.44,19.94,0.2915,5.46,0.0612,0.1484,1.156,4.046,0.2222,1.734,4.046,1.734,1.156,0.0,1.156,0.578,0.0,0.0,2.89,0.0,0.0,0.0,0.578,1.734
1,8,Marx and Heidegger,Chapter VII: The Work,2010,18,"Marx, Heidegger, and Historical Ontology",44,6946,280,24.81,20.51,27.86,18.93,3.93,45.5,12.76,16.69,0.172,4.884,0.042,0.0821,3.023,4.463,0.4038,1.584,3.599,1.584,0.432,0.0,4.175,1.008,2.16,0.0,5.183,1.152,0.0,0.0,2.16,2.303
1,9,Marx and Heidegger,Chapter VIII: The Thing,2010,0,Heidegger's Philosophy of Understanding and Being,31,4826,213,22.66,21.25,24.41,27.7,8.45,51.88,11.35,15.23,0.2289,4.874,0.033,0.1136,1.865,3.315,0.36,0.829,1.865,0.414,0.622,0.0,7.667,0.414,2.072,0.0,7.667,1.036,0.0,0.0,2.072,1.658
